Business ID,Name,Address,Coordinates/Latitude,Coordinates/Longitude,Number of Reviews,Rating,Zip Code,CuisineType/S,InsertedAtTimestamp/N
2VpurA2lb-q90nmALklNcA,Perry St,176 Perry St,40.73442,-74.00971,1005,4,10014,french,1697590707
bEXTA_Gwo2oVg4gnFd9fNA,Ai Fiori,400 5th Ave,40.750132,-73.983824,1471,4,10018,french,1697590707
JbpjgLAk4DaP0zvY7dP9Hw,Elysian Cafe,1001 Washington St,40.7486464,-74.027349,663,4,7030,french,1697590707
U2lfZtPmI3x-bpFztPFbkA,Claud,90 E 10th St,40.73088,-73.98968,106,4.5,10003,french,1697590707
EF4M55USa1ZNy1rP5Kuk2w,Chez Moi,135 Atlantic Ave,40.69073058,-73.99551244,470,4,11201,french,1697590707
O64wSq9NvecPNPRkz38o8Q,Madame,390 4th St,40.72473096,-74.05183738,270,4,7302,french,1697590707
kq8kgjEVgDi6VBIKqUcZ9w,Vanguard,252 W 51st St,40.76261608,-73.98532726,26,4.5,10019,french,1697590707
Orbsfc3nI21mQ8cwSPahhg,The Four Horsemen,295 Grand St,40.71305,-73.95732,321,4.5,11211,french,1697590707
TivnXoTHWVUCt-O8eHxr1w,Petite Patate,626 Vanderbilt Ave,40.677508,-73.969236,22,4,11238,french,1697590707
Nt36orNgZKCsGcdHw8TwEg,Francis & Staub - La Rotisserie,30 E 20th St,40.738572,-73.988906,6,4,10003,french,1697590707
k9i7G5WBJV-ohHyvHP7FAg,Danubius Restaurant,47-57 41st St,40.74036016,-73.92383323,25,5,11104,french,1697590707
8SehQovJOuQDLbtzLLYLyw,RH Rooftop Restaurant New York,9 9th Ave,40.73985,-74.00639,869,4,10014,french,1697590707
k4ds_s6y8S46WzVIolypLQ,Serena's Wine Bar,1268 2nd Ave,40.7652988,-73.9609017,166,4,10065,french,1697590707
